Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
5.1868,1.85,0.2448,0.5439,0.0001,0.1041,1.0324,0.077,0.0002,0.0013,0.103,0.088,0.33,4.2197,0.2392,0.1037,0.3756,4.425
5.1868,1.9,0.2262,0.5845,0.0007,0.075,1.0357,0.0304,0.0004,0.0008,0.205,0.089,0.234,4.6441,0.2484,0.1193,0.261,4.8258
5.1868,1.95,0.2026,0.6101,0.0019,0.0886,0.9959,0.0141,0.0001,0.0017,0.103,0.178,0.274,3.9375,0.2757,0.0467,0.0571,4.1371
5.1868,2.0,0.2056,0.5583,0.0011,0.0366,1.015,0.0613,0.0001,0.0018,0.0,0.179,0.357,3.6144,0.2437,0.1181,0.2101,3.838
5.1868,2.05,0.3439,0.5393,0.0003,0.0416,1.1143,0.0589,0.0001,0.0027,0.102,0.18,0.33,3.6468,0.1439,0.0507,0.2849,3.9002
5.1868,2.1,0.4025,0.5393,0.001,0.0589,1.0742,0.1021,0.0,0.0024,0.512,0.09,0.292,3.5144,0.1665,0.1004,0.3773,3.8088
5.1868,2.15,0.5315,0.561,0.001,0.0666,0.9853,0.0377,0.0,0.0027,0.408,0.091,0.345,3.5424,0.2092,0.0753,0.0354,3.8035
5.1868,2.2,0.5605,0.5469,0.0009,0.0765,1.0653,0.0808,0.0,0.0031,0.205,0.092,0.29,3.3854,0.3457,0.145,0.3624,3.6916
5.1868,2.25,0.6028,0.5174,0.0008,0.0549,1.1018,0.1093,0.0,0.0035,0.409,0.092,0.319,3.4193,0.484,0.025,0.2621,3.7593
5.1868,2.3,0.4824,0.4975,0.0008,0.0488,1.0941,0.0352,0.0001,0.0061,0.102,0.093,0.312,3.3506,0.1181,0.0148,0.3181,3.6248
5.1868,2.35,0.5002,0.562,0.001,0.0764,1.0097,0.0281,0.0002,0.0103,0.307,0.0,0.294,3.0462,0.213,0.0327,0.1405,3.3344
5.1868,2.4,0.5267,0.5624,0.0013,0.0676,0.9708,0.0355,0.0,0.0109,0.102,0.0,0.327,2.9445,0.1933,0.0681,0.2732,3.2321
5.1868,2.45,0.5637,0.5228,0.0015,0.0589,0.9483,0.0601,0.0003,0.0033,0.0,0.0,0.299,2.513,0.2858,0.1177,0.2766,2.8415
5.1868,2.5,0.6277,0.5445,0.0021,0.0803,0.9671,0.021,0.0,0.0161,0.0,0.096,0.299,2.3741,0.3054,0.0238,0.1351,2.735
6.0653,1.15,2.9682,0.6687,0.0006,0.1435,1.3588,0.1154,0.0,0.011,0.214,2.863,0.463,5.694,0.46,2.3945,2.2505,7.9389
6.0653,1.2,1.7148,0.7435,0.0002,0.1455,1.1625,0.0189,0.0,0.0121,0.828,1.508,0.472,6.8099,0.344,1.2157,0.7207,7.5193
6.0653,1.25,1.1745,0.7828,0.0006,0.0583,1.2132,0.1534,0.0,0.0191,0.312,0.748,0.353,6.3387,0.0835,0.2494,0.2236,6.6762
6.0653,1.3,0.8412,0.7925,0.0009,0.0721,1.1673,0.1051,0.0,0.0165,0.104,0.338,0.264,7.0498,0.2454,0.0155,1.3764,7.3868
6.0653,1.35,0.4398,0.7158,0.0004,0.0911,1.2225,0.0635,0.0,0.0119,0.623,0.253,0.25,6.5913,0.4231,0.5575,0.7889,6.8764
6.0653,1.4,0.5698,0.6327,0.0001,0.111,1.1555,0.2142,0.0,0.0068,0.105,0.25,0.3,5.4595,0.1589,0.5269,0.0837,5.6919
6.0653,1.45,0.4547,0.5797,0.0005,0.1379,1.1561,0.2171,0.0,0.0021,1.584,0.569,0.34,5.2954,0.2673,0.3865,1.2878,5.9004
6.0653,1.5,0.3627,0.5244,0.0007,0.0885,1.1088,0.0478,0.0,0.0019,1.202,0.326,0.301,5.3739,0.1693,0.2689,0.7624,5.7314
6.0653,1.55,0.2484,0.5618,0.0014,0.0345,1.0563,0.0402,0.0,0.0018,0.523,1.027,0.277,5.2221,0.3375,0.1961,0.4822,5.5278
6.0653,1.6,0.251,0.6178,0.0003,0.0674,1.0544,0.0263,0.0,0.0017,0.208,0.172,0.3,4.975,0.3792,0.1083,0.3846,5.1748
6.0653,1.65,0.2505,0.5797,0.0006,0.0843,1.065,0.028,0.0,0.0006,0.0,0.676,0.34,4.5491,0.5656,0.3649,1.0889,4.9443
6.0653,1.7,0.2004,0.5689,0.0006,0.081,1.0843,0.0538,0.0,0.0034,0.305,0.168,0.268,4.3801,0.4016,0.1815,0.8925,4.6817
6.0653,1.75,0.103,0.5866,0.0008,0.1011,1.1975,0.1178,0.0,0.0017,0.0,0.087,0.329,3.9749,0.1257,0.1643,0.1015,4.2168
6.0653,1.8,0.1706,0.575,0.0016,0.0753,1.2092,0.1215,0.0,0.0042,0.206,0.0,0.335,3.8402,0.2263,0.178,0.3307,4.1154
6.0653,1.85,0.2013,0.5278,0.0002,0.0544,1.1284,0.0708,0.0,0.0031,0.308,0.088,0.33,3.6781,0.9187,0.0652,0.3204,4.0362
6.0653,1.9,0.3059,0.5287,0.0002,0.0773,1.0964,0.039,0.0,0.0016,0.0,0.177,0.234,3.9963,0.4798,0.0185,0.2865,4.237
6.0653,1.95,0.4103,0.5489,0.0004,0.0913,1.0385,0.04,0.0,0.0033,0.103,0.177,0.274,3.8763,0.1037,0.042,0.3445,4.1027
6.0653,2.0,0.4576,0.5417,0.0009,0.0921,1.0983,0.024,0.0,0.0056,0.0,0.266,0.357,3.4049,0.2357,0.0435,0.2416,3.6913
